등급,과목,구분 점수,인원(명),비율(퍼센트)
4,일본어 Ⅰ,55,309,16.78
5,일본어 Ⅰ,47,397,21.55
6,일본어 Ⅰ,40,307,16.67
7,일본어 Ⅰ,37,195,10.59
8,일본어 Ⅰ,34,150,8.14
9,일본어 Ⅰ,34미만,51,2.77
1,러시아어 Ⅰ,63,17,6.69
2,러시아어 Ⅰ,61,30,11.81
3,러시아어 Ⅰ,59,26,10.24
4,러시아어 Ⅰ,56,31,12.2
5,러시아어 Ⅰ,49,49,19.29
6,러시아어 Ⅰ,39,46,18.11
7,러시아어 Ⅰ,37,28,11.02
8,러시아어 Ⅰ,34,22,8.66
9,러시아어 Ⅰ,34미만,5,1.97
1,아랍어 Ⅰ,75,360,4.56
2,아랍어 Ⅰ,64,575,7.28
3,아랍어 Ⅰ,54,993,12.58
4,아랍어 Ⅰ,49,1326,16.8
5,아랍어 Ⅰ,45,1791,22.69
6,아랍어 Ⅰ,43,1270,16.09
7,아랍어 Ⅰ,41,726,9.2
8,아랍어 Ⅰ,38,653,8.27
9,아랍어 Ⅰ,38미만,199,2.52
1,베트남어 Ⅰ,68,10,4.35
2,베트남어 Ⅰ,66,18,7.83
3,베트남어 Ⅰ,61,29,12.61
4,베트남어 Ⅰ,50,38,16.52
5,베트남어 Ⅰ,44,49,21.3
6,베트남어 Ⅰ,42,36,15.65
7,베트남어 Ⅰ,40,32,13.91
8,베트남어 Ⅰ,38,11,4.78
9,베트남어 Ⅰ,38미만,7,3.04
1,한문 Ⅰ,67,51,6.55
2,한문 Ⅰ,63,66,8.47
3,한문 Ⅰ,58,88,11.3
4,한문 Ⅰ,52,130,16.69
5,한문 Ⅰ,47,153,19.64
6,한문 Ⅰ,42,113,14.51
7,한문 Ⅰ,37,101,12.97
8,한문 Ⅰ,33,52,6.68
9,한문 Ⅰ,33미만,25,3.21
